ID,class,conc
ID_1,Group 2,153
ID_2,Group 1,224
ID_3,Group 2,127
ID_4,Group 2,194
ID_5,Group 1,251
ID_6,Group 1,81
ID_7,Group 2,100
ID_8,Group 1,270
ID_9,Group 2,100
ID_10,Group 1,161
ID_11,Group 3,158
ID_12,Group 3,118
ID_13,Group 2,143
ID_14,Group 2,258
ID_15,Group 3,224
ID_16,Group 3,254
ID_17,Group 3,190
ID_18,Group 2,148
ID_19,Group 1,89
ID_20,Group 2,89
ID_21,Group 3,253
ID_22,Group 3,231
ID_23,Group 1,112
ID_24,Group 2,277
ID_25,Group 2,197
ID_26,Group 2,208
ID_27,Group 2,193
ID_28,Group 3,141
ID_29,Group 1,206
ID_30,Group 2,168
ID_31,Group 2,298
ID_32,Group 1,144
ID_33,Group 2,241
ID_34,Group 2,221
ID_35,Group 1,112
ID_36,Group 3,246
ID_37,Group 2,190
ID_38,Group 1,177
ID_39,Group 1,148
ID_40,Group 2,290
ID_41,Group 2,151
ID_42,Group 2,159
ID_43,Group 2,113
ID_44,Group 1,249
ID_45,Group 1,124
ID_46,Group 3,87
ID_47,Group 1,166
ID_48,Group 1,196
ID_49,Group 1,112
ID_50,Group 1,289
ID_51,Group 2,161
ID_52,Group 3,270
ID_53,Group 2,237
ID_54,Group 2,280
ID_55,Group 2,175
ID_56,Group 2,223
ID_57,Group 3,295
ID_58,Group 1,275
ID_59,Group 2,120
ID_60,Group 1,78
ID_61,Group 3,78
ID_62,Group 3,140
ID_63,Group 3,294
ID_64,Group 3,295
ID_65,Group 3,285
ID_66,Group 2,129
ID_67,Group 3,148
ID_68,Group 1,281
ID_69,Group 3,295
ID_70,Group 2,111
ID_71,Group 2,132
ID_72,Group 2,261
ID_73,Group 1,122
ID_74,Group 2,124
ID_75,Group 1,234
ID_76,Group 2,184
ID_77,Group 3,272
ID_78,Group 1,242
ID_79,Group 2,277
ID_80,Group 3,236
ID_81,Group 1,101
ID_82,Group 3,218
ID_83,Group 2,130
ID_84,Group 1,128
ID_85,Group 3,252
ID_86,Group 1,198
ID_87,Group 1,169
ID_88,Group 2,185
ID_89,Group 1,216
ID_90,Group 2,185
ID_91,Group 2,97
ID_92,Group 2,165
ID_93,Group 3,89
ID_94,Group 2,221
ID_95,Group 1,162
ID_96,Group 1,131
ID_97,Group 1,93
ID_98,Group 2,240
ID_99,Group 2,86
